iter	Passed	Remaining
676	1515	723
677	1517	720
678	1519	718
679	1522	716
680	1524	714
681	1526	711
682	1528	709
683	1530	706
684	1532	704
685	1534	702
686	1536	699
687	1538	697
688	1540	695
689	1542	693
690	1544	690
691	1547	688
692	1549	686
693	1551	684
694	1553	681
695	1555	679
696	1557	677
697	1559	674
698	1562	672
699	1564	670
700	1566	667
701	1568	665
702	1570	663
703	1571	660
704	1573	658
705	1575	656
706	1577	653
707	1579	651
708	1581	649
709	1583	646
710	1585	644
711	1587	642
712	1589	639
713	1591	637
714	1593	635
715	1595	632
716	1597	630
717	1599	628
718	1601	626
719	1603	623
720	1605	621
721	1607	618
722	1609	616
723	1612	614
724	1614	612
725	1616	610
726	1618	607
727	1620	605
728	1622	603
729	1625	601
730	1626	598
731	1628	596
732	1630	593
733	1632	591
734	1634	589
735	1636	586
736	1638	584
737	1639	582
738	1642	579
739	1643	577
740	1645	575
741	1647	572
742	1649	570
743	1651	568
744	1653	566
745	1656	563
746	1657	561
747	1660	559
748	1661	556
749	1663	554
750	1665	552
751	1667	549
752	1669	547
753	1671	545
754	1673	543
755	1675	540
756	1677	538
757	1679	536
758	1681	533
759	1683	531
760	1686	529
761	1689	527
762	1691	525
763	1693	522
764	1696	521
765	1699	519
766	1701	517
767	1703	514
768	1705	512
769	1708	510
770	1710	507
771	1712	505
772	1714	503
773	1720	502
774	1723	500
775	1725	498
776	1727	495
777	1729	493
778	1731	491
779	1732	488
780	1734	486
781	1736	484
782	1738	481
783	1740	479
784	1742	477
785	1744	474
786	1746	472
787	1748	470
788	1751	468
789	1753	466
790	1754	463
791	1756	461
792	1758	459
793	1760	456
794	1762	454
795	1763	452
796	1766	449
797	1768	447
798	1770	445
799	1772	443
800	1773	440
801	1776	438
802	1777	436
803	1779	433
804	1781	431
805	1783	429
806	1785	426
807	1786	424
808	1788	422
809	1790	419
810	1792	417
811	1793	415
812	1795	413
813	1797	410
814	1799	408
815	1801	406
816	1803	404
817	1805	401
818	1807	399
819	1809	397
820	1811	394
821	1813	392
822	1814	390
823	1816	387
824	1818	385
825	1820	383
826	1822	381
827	1823	378
828	1825	376
829	1827	374
830	1829	372
831	1831	369
832	1834	367
833	1836	365
834	1838	363
835	1839	360
836	1841	358
837	1843	356
838	1845	354
839	1847	351
840	1849	349
841	1851	347
842	1853	345
843	1855	342
844	1857	340
845	1859	338
846	1861	336
847	1863	333
848	1865	331
849	1867	329
850	1869	327
851	1871	325
852	1873	322
853	1875	320
854	1877	318
855	1879	316
856	1881	313
857	1883	311
858	1885	309
859	1886	307
860	1889	305
861	1891	302
862	1893	300
863	1895	298
864	1897	296
865	1899	293
866	1901	291
867	1903	289
868	1906	287
869	1907	285
